"cand_id","cand_name","cand_pty_affiliation"
"P60006939","DIGGES, WILLIAM MICHAEL MR","LIB"
"P60006947","MOLINELLI, COREY JAMES MR","CST"
"P60006954","LYNCH, DENNIS MICHAEL","REP"
"P60006962","OTT, SUSAN GELBER","DEM"
"P60006970","DELL, CRAIG STEVEN","IND"
"P60006988","WALSH, JOHN R III","DEM"
"P60006996","CHESTER, JOHN CHAPMAN","IND"
"P60007002","EVANS, NICHOLAS","REP"
"P60007010","STRUNK, CHRISTOPHER EARL","NBC"
"P60007028","ERWIN, NICHOLAS DALE MR.","DEM"
"P60007036","MACE, RAYMOND MR.","IND"
"P60007044","SINGLETON, JEROME","DEM"
"P60007051","LICHTENFELS, BRIAN KEITH MR","UN"
"P60007069","LUTZ, RANDALL ROY","IND"
"P60007077","BERHANE, DANIELLE HUSSER","REP"
"P60007085","BOSLEY, MERIDI RICHARDSON","DEM"
"P60007093","EALY, LARRY ELLIS","DEM"
"P60007119","WEIL, RICHARD LYONS","DEM"
"P60007127","GAMBERT, JASON","OTH"
"P60007135","CAISSIE, GARY DAVID","REP"
"P60007143","ZUTLER, DANIEL PAUL MR","IND"
"P60007150","LINDER, MATTHEW STEVEN","DEM"
"P60007168","SANDERS, BERNARD","DEM"
"P60007176","FAAS, SOURAYA","IND"
"P60007184","SNYDER, SPENCER ERIC MR.","IND"
"P60007192","KITTREDGE, GARY STEPHEN","UN"
"P60007200","MOODY, DERICK","OTH"
"P60007218","BIZGA, JOHN CARL","REP"
"P60007226","JEWELL, EDWARD CARLTON, SR","IND"
"P60007234","ASTOR, HOWELL ALEXANDER","DEM"
"P60007242","FIORINA, CARLY","REP"
"P60007259","SMITHERMAN, TONY","OTH"
"P60007267","KELSO, LLOYD THOMAS","DEM"
"P60007275","LIU, GEOFFREY KUANG HUA","W"
"P60007283","PIATT, MARTY MR.","UNK"
"P60007291","JONES-TAYLOR, GAYLE LOLETHA MS","DEM"
"P60007309","DUKE, DOUGLAS HEWITT","REP"
"P60007317","HART, LINDA  J","UNK"
"P60007325","ANTLEY, RAY MILLS JR MD","REP"
"P60007333","MCMENEMY, MICHAEL","DEM"
"P60007341","BROOKS, ARTHUR HERBERT MR. JR","DEM"
"P60007358","BRANDKAMP, SPENCER","W"
"P60007366","MCCUBBINS, LIMBERBUTT","DEM"
"P60007374","NICHOLS, ROGER","OTH"
"P60007382","DEL HIERRO, ARTURO MR","IND"
"P60007390","SCHROEDER, WILL DR","DEM"
"P60007408","O'MARA, DONALD GAIL","IND"
"P60007416","FARKAS, TIMOTHY R","IND"
"P60007424","TUCKER, GARY","W"
"P60007432","ALTIMARI, JOSEPH","IND"
"P60007440","SCROGGIE, JEREMY","IND"
"P60007457","COPELAND, ARLON SCOTT","CON"
"P60007465","DELONG, PAUL","REP"
"P60007473","MOORE, BILLY TOM","IND"
"P60007481","STETSON, JOSEPH ARTHUR","REP"
"P60007499","MILLS, DAVID ALLEN","DEM"
"P60007507","ELLIOTT, JONATHAN LEE","OTH"
"P60007515","WILSON, WILLIE","DEM"
"P60007523","BELL, JAMES JEROME MR.","DEM"
"P60007531","SLEGGS, MARK MR.","REP"
"P60007549","WALKER, HUGH SGT","OTH"
"P60007556","SZCZEPANSKI, MICHAEL GARY DR","REP"
"P60007564","SMITH, JEFFREY LYNN","REP"
"P60007572","PATAKI, GEORGE E","REP"
"P60007580","MCKOWN, DARRELL MACK","DEM"
"P60007598","RICHARDSON, WILLIAM KNOX","HEL"
"P60007606","GOVE, JEREMY","UN"
"P60007622","SZEKELY, ROBERT EDWARD","IND"
"P60007630","BRAUL, HARRY WILLIAM III","DEM"
"P60007648","TURNBULL, JOHN","OTH"
"P60007655","WALKER, MICHELLE 'HOPE'","IND"
"P60007663","JERRY, RENEE KEYA","NPA"
"P60007671","O'MALLEY, MARTIN JOSEPH","DEM"
"P60007689","KEITA, MOHAMMED","DEM"
"P60007697","GRAHAM, LINDSEY O","REP"
"P60007705","WYMAN, KAYE","REP"
"P60007713","VAN ALLEN, HAROLD WILLIAM","NBC"
"P60007721","LIN, DAVID TAWEI MR.","IND"
"P60007739","FORSYTH, JOHN SCOTT","DEM"
"P60007747","GLADSTONE, STEVE","IND"
"P60007754","WINSLOW, BRAD MR.","DEM"
"P60007762","BROOKS, MARK","IND"
"P60007770","THOMPSON, MORRIS KENT MR.","UN"
"P60007788","BARNES, DYJUAN D","OTH"
"P60007796","STEWART, WARREN GREGORY","OTH"
"P60007804","KATT, CORNELIUS JANNIK","OTH"
"P60007812","HOLT, MICHAEL MCGREGOR MR","UN"
"P60007820","TRUITT, PAUL EDWARD DVM","IND"
"P60007838","BOISSELLE, CHAD EUGENE","IDP"
"P60007861","PENT, JEREMIAH","IND"
"P60007879","PERKINS, GARY WAYNE JR","IND"
"P60007887","RODEO, KENNY","REP"
"P60007895","MANLEY, ELIJAH D","IND"
"P60007903","CULLISON, BROOKS ANDREWS","REP"
"P60007929","STERLING, SHAWNA","LIB"
"P60007937","NEWLAND, K. ROSS","REP"
"P60007945","HIGGINSON, ROBERT","LIB"
"P60007952","MYERS, TIMOTHY HAMILTON","IND"
"P60007960","WILHELM, MICHAEL JOSEPH MR","IND"
"P60007978","LARM, DAVID ROBERT MR","UN"
"P60007986","VINCE, ROBERT ANDREW MR. JR","NNE"
"P60007994","GREEN, JIM","DFL"
"P60008000","TORII, DENNIS ROGER JR.","LIB"
"P60008018","CORDOVER, ALEXANDER MR.","LIB"
"P60008026","YOUNG, SUSAN","DEM"
"P60008034","CHEN, JAMES JYHYENN","DEM"
"P60008042","CASTILLEJOS, MICHAEL","FED"
"P60008059","BUSH, JEB","REP"
"P60008067","SCRUGGS, MICHAEL W REVEREND","IND"
"P60008075","CHAFEE, LINCOLN DAVENPORT MR.","DEM"
"P60008083","FARMER, ELMER MR. JR","REP"
"P60008091","MCGINNIS, STEVEN MICHAEL","UN"
"P60008109","NAGLE, GLORIA","IND"
"P60008117","JOHNSON, TYRONE MR","REP"
"P60008125","CORNELL, PHILIP MR.","IND"
"P60008133","COLLINS, JAMES CASEY","DEM"
"P60008141","STEVENS, JESSE LEE MR.","NPA"
"P60008166","MYERS, HILARY HELEN","NPA"
"P60008182","AGUILAR, DANNY GOOGLE","W"
"P60008190","GYURKO, ZOLTAN","OTH"
"P60008208","SPARROW, JACK","IND"
"P60008232","LANG, JENNIFER MARIE DR.","REP"
"P60008240","ASHER, PAUL","IND"
"P60008257","HOFFMAN, RALPH ROBBIE MR. SIR.","DEM"
"P60008265","HANGER, EMMETT W JR","REP"
"P60008273","KENNY, JAMES J","IND"
"P60008281","REID, DERRICK MICHAEL","LIB"
"P60008299","JENNINGS, GERALD JOHN MR. II","CON"
"P60008307","ROGERS, LORREN MR","REP"
"P60008315","VAN BERNUM, GEORGE JOSEPH MR. JR","IND"
"P60008323","GRIBBLE, QUANCIDINE HINSON","DEM"
"P60008331","CIOTTI, ANTHONY MR. III","IND"
"P60008349","ROSENBAUM, ANDREW SCOTT MR.","IDP"
"P60008356","WEBSTER, ANDREW J","IND"
"P60008364","VEGA, ISAAC ADAM MR.","W"
"P60008372","UNSWORTH, MATTHEW ALEXANDER","IND"
"P60008380","SARACENO, JOHN ANTHONY MR.","IND"
"P60008398","JINDAL, BOBBY","REP"
"P60008406","WENTWORTH, RICHARD LEE","OTH"
"P60008414","WESSON, DAVID S","OTH"
"P60008422","SIMPSON, MARY ERWIN","OTH"
"P60008430","TOUCHETTGESS, MICHELE ANN JONES","DEM"
"P60008448","MORCOM, PERRY WAYNE","IND"
"P60008455","HARKINS, SCOTT ALLEN","NPA"
"P60008463","STEVENS, PATRICIA DIANE","W"
"P60008471","RAINEY, KELLEY BRACKEN MS.","OTH"
"P60008489","COSTELLO, REGIS J","IND"
"P60008505","MARTIN, JAMES RAY","REP"
"P60008513","WILEY, MIKE","LIB"
"P60008521","CHRISTIE, CHRISTOPHER J","REP"
"P60008539","CRAWFISH, CRAWFISH","OTH"
"P60008547","PROPSNER, WILLIAM PAUL","REP"
"P60008554","DEVINE, ROBERT","OTH"
"P60008562","WEIGEL, BENJAMIN FRANKLIN","IND"
"P60008570","KLEIN, DARREN ANDREW","OTH"
"P60008588","MORGAN, BRANDON JARED","IND"
"P60008596","EURTON, JOHN","NPA"
"P60008604","UNDEN, COLTON","IND"
"P60008612","MILLS, DAVID ALLEN MR","REP"
"P60008620","LEE..., R....","OTH"
"P60008638","LIBRACE, DAVID","IND"
"P60008646","PITTMAN, WILLIAM A","UN"
"P60008653","BAUCOM, DAVID EDWARD","REP"
"P60008661","NELSON, URYAN MR.","IND"
"P60008679","HAWKINS, TAMEIKA NICOLE","REP"
"P60008687","OLIVEREZ, ESTEBAN MIGUEL MR.","REP"
"P60008695","PATTERSON, STEPHEN MICHAEL","REP"
"P60008703","ASKIN, RAY WILLIAM MR","REP"
"P60008711","ALLEN, DARRYL GLENN MR","IND"
"P60008729","TORKKO, CAROL CONSTANCE MRS.","REP"
"P60008737","JONES, KELBY ANDREW MR.","DEM"
"P60008745","FRATTERSON, TURK YOLNINETIMES MR.","REP"
"P60008752","PERKINS, ANGUS VALENTINO","DEM"
"P60008760","HART, JASON AARON","DEM"
"P60008778","CRAWFORD, PHILIP RASHAD MR.","W"
"P60008786","ELIJAH, ISIS","REP"
"P60008794","THOMAS, MAXWELL","REP"
"P60008802","KARST, RICHARD","HEL"
"P60008828","WICKER, THOMAS M","IND"
"P60008836","FEENEY, GERALD FRANCIS","REP"
"P60008844","JACKSON, SARAH LEE-BUDD","IND"
"P60008851","BOATENG, KWAME APPIAH","REP"
"P60008869","ANZOLI, ARMANDO","REP"
"P60008877","KISSI, ALEXANDER OB. BISHOP","REP"
"P60008885","WEBB, JAMES","UNK"
"P60008893","MERRY, LINDA LOUISE","IND"
"P60008901","HUBER, FRANK STEVEN DAVID II","IAP"
"P60008919","DREW, ARTHUR","IND"
"P60008927","HOPKINS, DONALD R JR","UNK"
"P60008935","HENRY, SELDEN KENNEDY","REP"
"P60008943","MARTINX, ANDY","REP"
"P60008950","YANCEY, FLOYD AZRAEL","IND"
"P60008968","DUBON, TODD NORMAN","REP"
"P60008976","STEPHENS, RENEE ANDRE","UNK"
"P60008984","HARDING, RAYMOND ALLEN MR","CST"
"P60008992","PAYLIN, SARA H. MS. PE","JCN"
"P60009008","ADAMS, JACK LYNN","REP"
"P60009016","LABO, THOMAS MATTHEW","IND"
"P60009024","NICELY, MICHAEL","IDP"
"P60009032","ROHRBACKER, RUSSELL WILLIAM","DEM"
"P60009040","LONG, CHARLES ANTHONY","REP"
"P60009057","DIETRICH, GEORGE WAYNE II","DEM"
"P60009065","BRANNAN, DANIEL LESTER","REP"
"P60009073","PRIBBLE, ROBERT LEONARD II","DEM"
"P60009081","REED, ROBERT J MR","OTH"
"P60009099","CRAY, MARO DAY","LIB"
"P60009107","WALKER, THAI ALLEN REV.","REP"
"P60009115","HANSEN, MAXWELL DOCTOR NO","ACE"
"P60009123","MATHEWS, CORNELUIS","REP"
"P60009131","PALYN, BRYSTOL S. MS.","NPA"
"P60009149","GARCIA, SAMX","IND"
"P60009156","MERCADO, GERMAN QUINONES JR MR","UNK"
"P60009164","CORNERSTONE, DAVID REED","REP"
"P60009172","SARTIN, DAVID WAYNE","IND"
"P60009180","SMITH, THOMAS BENJAMIN","OTH"
"P60009198","NUTS, DEEZ","IND"
"P60009206","BRITT, JOSEPH PATRICK JR","NNE"
"P60009214","WARNER, STANLEY WESLEY","REP"
"P60009222","COVINGTON, STEVEN WAYNE","NPA"
"P60009230","ERWIN, FRANKLIN JAMES","IND"
